anio,sup_bosque,perdida_bosque,bosque,bosque_seco,bosque_inundable,zona_pantanosa_o_pastizal_inundable,pastizal_herbazal,otras_formaciones_no_boscosas,pasto,agricultura,mosaico_agropecuario,playa,infraestructura_urbana,otra_area_sin_vegetacion,mineria,otra_area_natural_sin_vegetacion,rio_lago_u_oceano,departamento
2001,16.088631721216238,9.357767643117791,15.945697493961827,8.62155320674048,14.135284871275637,12.28369087807612,7.278628942320682,8.987196820661973,8.128585200374497,5.886104031450156,12.713474414589433,9.526245403371703,8.740976538017787,9.66478610230597,2.6390573296152584,6.267200548541362,11.801519621346978,UCAYALI
2002,16.087541950349483,9.266299066440553,15.945631430594677,8.596004371840527,14.133610772057573,12.295149803989899,6.9782137426306985,9.015541293671115,8.083328608786376,6.267200548541362,12.729599269034157,9.124128675157117,8.765770543987257,9.722984341548957,3.044522437723423,6.2285110035911835,11.791261498947419,UCAYALI
2003,16.086310404879104,9.38744082248497,15.944733914822256,8.592300663903043,14.133321900977563,12.296635209584426,9.079092085366229,9.04310445260027,8.361708288575842,6.313548046277095,12.749637445675356,7.101675971619444,8.80131894766524,9.804716390436107,3.784189633918261,6.192362489474872,11.76214993302716,UCAYALI
2004,16.08511315337474,9.357985076626704,15.944403830644227,8.558335134747413,14.134570650663008,12.295890497349292,9.091556835986216,9.100525505968976,8.544808358449211,6.822197390620491,12.755187779784023,9.341105441855735,8.810757927026174,9.69793830962287,4.189654742026425,6.354370040797351,11.77156742563731,UCAYALI
2005,16.082808529479156,10.011123277940175,15.94369702469503,8.57922858233569,14.13181944509402,12.287044152505297,7.27655640271871,9.09268232850795,8.927977461002001,7.048386408721883,12.811158807510354,9.577549634629815,8.84043543926657,9.832689481227412,4.532599493153256,6.398594934535208,11.648740498101764,UCAYALI
2006,16.081532023583993,9.418541641356462,15.94342268894541,8.565983355585669,14.126690627298112,12.309450196412257,6.954638864880987,9.093806555720231,7.254884810077338,7.123672785204607,12.80310532290445,9.680156483641596,8.860924729719041,9.653871680890804,4.564348191467836,6.29156913955832,11.719557447509327,UCAYALI
2007,16.080470640633827,9.232818827812562,15.942328884511038,8.548691858475609,14.128756570607328,12.287555853646124,7.463936604468925,9.050171619823361,2.995732273553991,7.43307534889858,12.807430690129008,9.383032379794294,8.881697406469304,9.644328147017548,4.624972813284271,6.338594078203183,11.812526226815537,UCAYALI
2008,16.07870050987337,9.742883846649715,15.94166379577076,8.554488976159934,14.130960509523355,12.280228830807339,7.116394144093465,9.04899722156742,5.209486152841421,8.00603417874901,12.835755394578372,9.739909238559308,8.915700818956903,9.831400613641227,4.653960350157523,6.1903154058531475,11.691222266625566,UCAYALI
2009,16.076025865770987,10.153424532570636,15.939973982274308,8.515191188745565,14.128182515889636,12.290758403696817,4.882801922586371,9.195226734166134,7.6511201757027,8.19478163844336,12.86640216954644,9.158731238242952,8.949754525186103,9.913140809564267,4.74493212836325,6.206575926724928,11.760074563631239,UCAYALI
2010,16.074154528261477,9.79398848487366,15.93819009328668,8.42726848388825,14.125029217225224,12.296064160826472,8.68609172787805,2.3978952727983707,8.08487062913819,8.378620541552298,12.917678413314059,9.608915129379593,6.677083461247136,9.815038779351015,4.74493212836325,6.2766434893416445,11.701320209237545,UCAYALI
