anio,sup_bosque,perdida_bosque,bosque,bosque_seco,bosque_inundable,zona_pantanosa_o_pastizal_inundable,pastizal_herbazal,otras_formaciones_no_boscosas,pasto,agricultura,mosaico_agropecuario,playa,infraestructura_urbana,otra_area_sin_vegetacion,mineria,otra_area_natural_sin_vegetacion,rio_lago_u_oceano,departamento
2001,15.90859336555895,8.630968205675082,15.777676154145777,-13.815510557964274,13.878533243303044,9.844374288043621,8.467582690862903,7.52131798019924,7.186901020411631,-13.815510557964274,11.680277197639525,10.10483529147988,7.6290038896529575,8.900685318713995,8.911260254572033,5.0106352940962555,11.36746029003828,MADRE DE DIOS
2002,15.907949099042218,8.560873177983703,15.777455319887597,-13.815510557964274,13.877870144446966,9.805047479722875,8.476162841858246,7.557472901614746,7.255591274253665,-13.815510557964274,11.707430830145817,10.152610692809285,7.666221925662725,8.861066543517762,8.947415950650129,5.159055299214529,9.044403844431551,MADRE DE DIOS
2003,15.90725463466698,8.635232194310213,15.776289333388211,-13.815510557964274,13.879477353197732,9.772467290097724,8.488382109562117,7.522400231387125,7.5310163320779155,-13.815510557964274,11.724004532183379,10.057281025715545,7.703007682479236,8.966611387052865,6.752270376141742,5.225746673713202,11.407353815914204,MADRE DE DIOS
2004,15.906295270688434,8.9575349756117,15.776070163542741,-13.815510557964274,13.877538430058468,9.869154873455622,8.476996001664824,7.456454555176209,7.656337166430183,-13.815510557964274,11.750374207389497,10.083974093384352,7.731053144007127,8.960210955576986,9.084323531392696,5.093750200806762,11.380170913383699,MADRE DE DIOS
2005,15.905270474147043,9.022521733877834,15.775490828412858,-13.815510557964274,13.880556450367274,9.860162427797754,8.462948176563842,7.3758821482150125,8.183676582620658,-13.815510557964274,11.77724166931681,10.127071007078722,5.455321115357702,9.055556158175316,9.1381996941985,5.135798437050262,11.308873503911538,MADRE DE DIOS
2006,15.904558056851045,8.658067558296018,15.77499712891844,-13.815510557964274,13.879851559596151,7.5569505720129,8.45638105201948,4.962844630259907,6.313548046277095,-13.815510557964274,9.463508636396089,10.146512159443487,7.792348924113037,8.966483779064431,9.274066062856727,4.882801922586371,11.342801217631655,MADRE DE DIOS
2007,15.90364922229248,8.900756189856658,15.773952709560868,-13.815510557964274,13.878537937902893,9.844851577051172,8.434680769841773,7.142827401161621,8.887100204123687,-13.815510557964274,11.793764174940002,10.068111764371048,7.827639546366422,9.040382074165628,9.455323689894849,4.941642422609304,11.37923405954434,MADRE DE DIOS
2008,15.902346912991685,9.259381933114177,15.773168007927376,-13.815510557964274,13.87334352202184,9.89065557372075,6.1224928095143865,7.173958319756794,9.172326929777967,-13.815510557964274,11.806452919837529,7.729295674310482,7.857867559331803,6.852242569051878,9.602652693506046,4.8283137373023015,11.422223650321062,MADRE DE DIOS
2009,15.901640499844733,8.646683429564206,15.773003791898633,-13.815510557964274,13.868911978691182,9.854454858958817,8.423980809694058,7.135687347028144,9.365462008843483,-13.815510557964274,11.8240359365971,9.91353688838913,7.902857191280582,9.266815218904162,9.756436609824092,4.867534450455582,11.433178546879972,MADRE DE DIOS
2010,15.899865037626107,9.567058414986137,15.772970747753346,-13.815510557964274,13.862470476827552,9.899328917387269,8.445267451844648,4.836281906951478,7.1459844677143876,-13.815510557964274,11.846486324786717,10.091252599948522,7.935945103353701,9.335562336729565,9.925200119441778,4.867534450455582,11.365677572659276,MADRE DE DIOS
2011,15.898400203096848,9.373119717562744,15.77110664648879,-13.815510557964274,13.870785365598026,9.78549199429842,8.439231649946526,7.126087273299125,9.519147726042911,-13.815510557964274,11.83742632981022,10.1436062080563,5.680172609017068,9.34940642009918,10.128149949819608,4.941642422609304,11.374375787504952,MADRE DE DIOS
2012,15.896941550623511,9.367428732590783,15.770880111164477,-13.815510557964274,13.86530022246679,9.807141836749443,8.442038517815478,7.170888478512505,9.563037414545692,-13.815510557964274,11.84032091765647,9.979336864819565,8.034631032923107,9.425290448261865,10.233582353619516,4.919980925828125,11.440193468804129,MADRE DE DIOS
