anio,sup_bosque,perdida_bosque,bosque,bosque_seco,bosque_inundable,zona_pantanosa_o_pastizal_inundable,pastizal_herbazal,otras_formaciones_no_boscosas,pasto,agricultura,mosaico_agropecuario,playa,infraestructura_urbana,otra_area_sin_vegetacion,mineria,otra_area_natural_sin_vegetacion,rio_lago_u_oceano,departamento
2001,15.140919270078097,9.760129175736637,15.144792935699224,9.485165142425407,11.293636973355513,8.305484017727691,12.0622888764413,11.101809420353215,7.883069351305753,10.901229230819263,13.6118178563935,6.673297967767654,9.472396896788991,9.924906519909428,4.07753744390572,5.834810737062605,10.599530536208098,SAN MARTIN
2002,15.135171485148286,9.979106026165026,15.141288697642198,9.488275092973083,8.990316947998217,8.480944058741116,12.055412533244297,11.098394384848318,10.17686784027705,11.166808870681278,13.615022179214755,8.147288258706624,9.486152271857476,9.928716606581904,4.30406509320417,8.134174272137903,8.275885669474356,SAN MARTIN
2003,15.131059792759284,9.639195781621048,15.136527191467458,7.140453043101158,11.280286979094218,8.535425959677298,12.042582656471343,11.151022593487193,10.173934448966204,11.249194266674234,13.627644860786864,8.461469042643875,7.191429330036379,9.929983416340093,4.219507705176107,8.144679183447758,10.58136879942564,SAN MARTIN
2004,15.124563310292613,10.09131890250368,15.133194652965873,9.473704136776757,11.255099885073665,6.16541785423142,12.047885496778928,11.161337560080053,10.144117324857612,11.25882000251741,13.643861843226624,8.176110342237342,9.498297406622395,9.895354569305939,4.406719247264253,8.145549631783584,10.608019677962638,SAN MARTIN
2005,15.115269420664546,10.441521840490543,15.127464650720999,9.546026585476431,8.945462952177666,8.628197749459149,12.036019522790072,11.172995256449724,10.11033910707336,11.301278078794445,13.666591668423859,8.88723835429314,9.503159228533116,9.848714526688836,3.9889840465642745,8.085178748074537,10.527177468080852,SAN MARTIN
2006,15.111124767636936,9.627261607349906,15.122594219362668,9.560081331311986,11.233238016844151,8.470730317005897,12.041327710908552,11.188150547181156,10.133924442677802,11.364146995611325,13.679250875510878,8.661293535389994,9.522446728338489,9.92098360015288,4.2626798770413155,8.188133414510478,10.539773333966417,SAN MARTIN
2007,15.100912531458583,10.521854342612118,15.116997293867035,9.62747051161485,11.22381570719392,8.447628728030327,9.734832186505988,11.189201621171183,10.14733528540863,11.411357747551099,13.70105996355254,8.521782643750045,9.536545799098715,9.761981590241948,4.3694478524670215,8.149312843635345,10.571778357097207,SAN MARTIN
2008,15.095985723248667,9.785386216227467,15.112695524612365,9.690356211348643,11.216498601376854,8.423102268016642,12.031248909693552,11.198872038296177,10.186483662997194,11.42461870387823,13.707143304374716,8.934718614016768,9.551871220788255,9.807141836749443,4.30406509320417,8.17948018535889,10.680194326195004,SAN MARTIN
2009,15.085008765049881,10.578545352354531,15.108687483458194,9.617870014133226,11.195636055765789,8.37930948405285,12.035183489098435,11.179297180480747,10.219283208646708,11.515143004411183,13.718053174567371,6.354370040797351,9.579901925737992,9.885934393288538,4.2626798770413155,8.169902647359145,10.652991436763397,SAN MARTIN
2010,15.075159656833776,10.45971388847782,15.104098094620003,7.252762418053187,11.194027885365527,8.506738733512378,12.033723201530377,11.169209052553029,10.206772268215317,11.541483766878189,11.437490458850139,6.447305862541213,9.60683200528524,9.832045255081763,4.343805421853684,8.012349639327795,10.556567661882832,SAN MARTIN
2011,15.068026615979758,10.128577608181006,15.102358270878318,9.517751539608959,11.177998034521295,8.339261982923576,12.03334888220786,11.170449240431308,10.206292200258018,11.495413013218931,13.74852103557566,8.758883680017025,7.323830566202317,9.842994172107165,4.330733340286331,5.860786223465865,10.663077689644787,SAN MARTIN
2012,15.05967188100703,10.278925318655142,15.099098101475219,9.507106063161006,11.164247034950172,8.275121630216509,12.047065190641572,11.111566913404856,10.204036490694733,11.588811854801362,13.76030224144794,6.498282149476434,9.659886159319521,9.569691731118324,4.418840607796598,8.277411998949004,8.299534570332597,SAN MARTIN
2013,15.0531616493442,10.02203829343142,15.09818122760697,9.370416319822818,11.184588050777514,8.245121966478605,9.756784073343919,11.0597553536924,10.204036490694733,11.596540246722386,13.76651777326869,8.438799123988225,7.3833681469923835,9.428993858017527,4.718498871295094,8.150756470275551,10.651856550721268,SAN MARTIN
2014,15.045474556723946,10.181107925433478,15.098939344027588,9.318387276059317,11.177914160667523,8.366137716496281,9.756320761816548,11.056919410968344,10.195149195980738,9.274347501950475,13.766783441807274,8.287025025165063,9.70430463866676,9.477921772720961,4.77912349311153,8.169902647359145,10.648396667654662,SAN MARTIN
2015,15.038993426205662,10.003375420537953,15.09781124664817,9.203718495667296,11.184226934646976,6.104793232414985,12.061098895248147,11.082157933374816,10.190206661487347,11.575684278367056,13.76134155373651,9.124346658809207,9.729610242524837,9.580592724328602,4.736198448394496,8.331586243630754,10.656411937131933,SAN MARTIN
2016,15.032917770157512,9.932491832126363,15.09716442192857,9.140883106960962,11.152715709511364,8.259975659768276,12.067781371192439,11.09898453838102,10.206513798722508,11.642329602181489,13.759940763952319,8.554874258383926,9.753187781764911,9.524566999650077,4.836281906951478,8.294549515143679,10.697904392600355,SAN MARTIN
2017,15.029210626681746,9.433571119488693,15.097088917904475,9.067970030684457,11.182850720685702,8.39185670010494,12.065349741579304,11.093979902448186,10.234767762454917,11.615897129594106,13.759316855111596,8.384575666801398,9.7721252343393,9.610792938260802,4.882801922586371,8.321907968230423,10.719383198355127,SAN MARTIN
